,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
A Ashish Reddy,21.53846153846154,22.294117647058822,8.613636363636363,1.4285714285714286,0.7857142857142857,15.529411764705882
NLTC Perera,20.19047619047619,32.6,8.504347826086956,1.3006134969325154,0.7607361963190185,23.0
SK Trivedi,6.0,28.307692307692307,7.090558766859345,0.6885245901639344,0.29508196721311475,23.953846153846154
GB Hogg,11.0,24.0,7.1072961373390555,1.0,0.18181818181818182,20.26086956521739
SM Pollock,18.375,27.0,6.364285714285714,1.2672413793103448,0.8275862068965517,25.454545454545453
Sunny Gupta,0.0,45.0,14.210526315789474,0.0,0.0,19.0
DR Smith,30.189873417721518,30.26923076923077,8.477558348294435,1.3227953410981697,0.9328896283971159,21.423076923076923
DJ Thornely,13.0,12.666666666666666,5.181818181818182,0.7222222222222222,0.37037037037037035,14.666666666666666
DT Patil,13.0,0.0,0.0,1.0,0.3076923076923077,0.0
WA Mota,11.2,23.5,7.52,0.7368421052631579,0.10526315789473684,18.75
I Malhotra,7.0,23.0,23.0,1.75,1.0,6.0
J Yadav,6.0,48.25,6.327868852459017,0.5,0.0,45.75
M Ntini,11.0,34.0,6.704225352112676,0.5789473684210527,0.42105263157894735,30.428571428571427
GH Vihari,16.470588235294116,32.0,6.193548387096774,0.8668730650154799,0.30340557275541796,31.0
NL McCullum,26.0,34.0,6.8,1.1304347826086956,0.2608695652173913,30.0
MD Mishra,16.928571428571427,0.0,0.0,1.1126760563380282,0.676056338028169,0.0
JEC Franklin,29.727272727272727,24.0,8.361290322580645,1.058252427184466,0.49838187702265374,17.22222222222222
Pankaj Singh,3.5,41.18181818181818,8.739549839228296,0.5833333333333334,0.0,28.272727272727273
R Tewatia,17.5,22.833333333333332,6.421875,1.4583333333333333,0.9166666666666666,21.333333333333332
A Flintoff,31.0,52.5,9.545454545454545,1.087719298245614,0.5614035087719298,33.0
AL Menaria,20.05,46.666666666666664,7.433628318584071,1.0926430517711172,0.555858310626703,37.666666666666664
Gurkeerat Singh,18.0,18.6,6.804878048780488,1.2214285714285715,0.7071428571428572,16.4
M Muralitharan,5.0,26.65573770491803,6.265895953757226,0.6666666666666666,0.13333333333333333,25.524590163934427
R Bishnoi,9.5,0.0,0.0,1.1176470588235294,0.9411764705882353,0.0
P Sahu,19.0,48.0,8.074766355140186,1.4615384615384615,0.7692307692307693,35.666666666666664
