,0,1,2,3,4,5,6,Balls,Dismissals,Runs,SR
A Ashish Reddy,61,83,20,1,16,0,15,196,13,280,142.86
NLTC Perera,129,121,26,1,23,0,26,326,21,424,130.06
SK Trivedi,37,16,4,0,3,0,1,61,7,42,68.85
GB Hogg,5,14,2,0,1,0,0,22,2,22,100.0
SM Pollock,47,47,2,0,12,0,8,116,8,147,126.72
Sunny Gupta,1,0,0,0,0,0,0,1,1,0,0.0
DR Smith,832,521,84,3,245,1,117,1803,79,2385,132.28
DJ Thornely,31,19,0,0,2,0,2,54,3,39,72.22
DT Patil,5,5,2,0,1,0,0,13,1,13,100.0
WA Mota,30,40,4,0,2,0,0,76,5,56,73.68
I Malhotra,0,3,0,0,1,0,0,4,0,7,175.0
J Yadav,6,6,0,0,0,0,0,12,0,6,50.0
M Ntini,15,1,1,0,2,0,0,19,1,11,57.89
GH Vihari,142,133,23,1,23,0,1,323,17,280,86.69
NL McCullum,8,9,4,1,0,0,1,23,1,26,113.04
MD Mishra,102,65,14,0,24,0,8,213,14,237,111.27
JEC Franklin,124,129,22,0,25,0,9,309,11,327,105.83
Pankaj Singh,6,5,1,0,0,0,0,12,2,7,58.33
R Tewatia,9,7,3,0,4,0,1,24,2,35,145.83
A Flintoff,24,23,2,1,5,0,2,57,2,62,108.77
AL Menaria,152,149,24,0,24,0,18,367,20,401,109.26
Gurkeerat Singh,107,112,16,0,36,0,9,280,19,342,122.14
M Muralitharan,17,9,2,1,1,0,0,30,4,20,66.67
R Bishnoi,11,3,0,0,1,0,2,17,2,19,111.76
P Sahu,4,5,2,0,1,0,1,13,0,19,146.15
Karanveer Singh,9,6,1,0,1,0,0,17,1,12,70.59
BR Dunk,20,6,3,0,7,0,0,36,3,40,111.11
S Ladda,10,0,0,0,0,0,0,10,0,0,0.0
DJG Sammy,108,94,15,1,15,0,18,251,14,295,117.53
SV Samson,441,451,81,6,107,0,57,1143,52,1401,122.57
Rashid Khan,4,3,1,0,0,0,1,9,2,11,122.22
Y Gnaneswara Rao,9,5,1,0,3,0,0,18,1,19,105.56
S Vidyut,55,30,5,1,21,0,3,115,8,145,126.09
V Kohli,1263,1393,240,11,379,0,159,3445,110,4376,127.02
SP Narine,94,47,4,0,36,0,12,193,17,271,140.41
AA Jhunjhunwala,98,82,13,1,19,0,5,218,10,217,99.54
Sandeep Sharma,14,20,1,0,1,0,0,36,1,26,72.22
KV Sharma,116,114,22,1,18,0,14,285,18,317,111.23
Q de Kock,244,188,19,3,90,1,21,566,24,726,128.27
JD Unadkat,8,4,0,0,0,0,0,12,1,4,33.33
T Taibu,9,9,5,0,3,0,0,26,2,31,119.23
RD Chahar,0,1,1,0,0,0,0,2,0,3,150.0
SR Tendulkar,874,721,117,7,296,0,29,2044,63,2334,114.19
MM Sharma,45,39,7,1,8,0,4,104,12,112,107.69
CK Kapugedera,10,12,2,0,0,0,0,24,3,16,66.67
LA Carseldine,31,23,4,2,11,0,0,71,2,81,114.08
KA Pollard,654,599,110,5,158,0,148,1674,79,2354,140.62
S Sohal,158,82,17,1,34,1,18,311,17,368,118.33
Yuvraj Singh,890,677,112,3,201,0,139,2022,95,2548,126.01
AD Mathews,207,267,49,3,44,0,29,599,27,724,120.87
VRV Singh,2,0,0,0,1,0,0,3,1,4,133.33
KS Williamson,108,141,28,1,35,1,11,325,12,411,126.46
R Sharma,48,14,7,0,5,0,3,77,10,66,85.71
R Sathish,92,89,24,3,22,0,6,236,14,270,114.41
AD Russell,128,114,23,0,48,0,37,350,19,574,164.0
RA Jadeja,503,605,117,5,123,0,56,1409,66,1682,119.38
MS Gony,39,19,4,0,6,0,8,76,8,99,130.26
OA Shah,149,168,29,2,34,0,23,405,10,506,124.94
Salman Butt,86,47,7,0,30,0,2,172,7,193,112.21
S Narwal,12,9,2,0,6,0,0,29,3,37,127.59
KB Arun Karthik,22,20,3,1,4,0,1,51,3,51,100.0
R Bhatia,110,119,23,1,24,0,13,290,25,342,117.93
FY Fazal,74,75,7,0,22,0,1,179,6,183,102.23
R Vinay Kumar,116,107,30,0,19,0,9,281,23,297,105.69
J Botha,138,143,37,2,39,0,5,364,18,409,112.36
A Symonds,308,288,66,4,74,0,41,781,23,974,124.71
Shahid Afridi,20,12,0,0,7,1,6,46,8,81,176.09
B Kumar,76,52,14,0,15,0,3,160,17,158,98.75
ER Dwivedi,7,4,0,0,2,0,2,15,2,24,160.0
RS Gavaskar,6,2,0,0,0,0,0,8,1,2,25.0
DS Kulkarni,48,37,7,1,6,0,2,101,5,90,89.11
S Chanderpaul,20,9,0,0,4,0,0,33,3,25,75.76
MA Starc,41,38,9,0,10,0,0,98,5,96,97.96
KAJ Roach,3,4,1,0,1,0,0,9,1,10,111.11
M Ashwin,1,0,0,0,0,0,0,1,1,0,0.0
Niraj Patel,61,38,9,1,14,0,1,124,4,121,97.58
AD Nath,14,10,3,0,1,0,0,28,4,20,71.43
JJ Roy,16,13,2,0,9,0,1,41,2,59,143.9
BB McCullum,984,688,102,3,276,0,124,2177,93,2749,126.27
PD Collingwood,60,66,10,1,9,0,13,159,3,203,127.67
C Madan,15,3,0,0,3,0,0,21,1,15,71.43
A Chopra,45,21,2,0,7,0,0,75,4,53,70.67
WP Saha,450,472,107,3,130,0,57,1219,55,1557,127.73
LR Shukla,152,137,20,0,33,0,16,358,25,405,113.13
IR Jaggi,51,36,5,2,6,0,0,100,5,76,76.0
TG Southee,11,14,5,0,3,0,3,36,3,54,150.0
LH Ferguson,0,1,0,0,0,0,0,1,0,1,100.0
M Kaif,115,76,21,1,22,0,6,241,15,245,101.66
EJG Morgan,312,255,49,3,72,0,34,725,33,854,117.79
SC Ganguly,662,427,54,3,137,1,42,1326,51,1349,101.73
H Das,3,2,0,0,0,0,0,5,0,2,40.0
A Mukund,9,11,2,0,1,0,0,23,2,19,82.61
DB Das,124,92,12,0,23,0,16,267,12,304,113.86
L Ronchi,26,4,0,0,6,0,1,37,2,34,91.89
