,3_w,Average,Balls,Economy,Innings,Runs,Wickets
A Chandila,1,22,234,6.21,12,242,11
S Sreesanth,1,25,947,7.08,44,1112,41
KK Cooper,5,30,600,7.25,25,725,33
JP Faulkner,7,30,1262,8.14,58,1710,60
SK Trivedi,5,24,1557,7.1,75,1840,65
STR Binny,0,11,530,7.22,56,635,21
I Sharma,1,28,1665,7.44,74,2061,53
AB Dinda,5,26,1589,7.53,75,1987,69
CH Gayle,1,18,553,7.15,36,658,18
AB Agarkar,1,27,813,8.14,41,1099,29
LR Shukla,2,16,326,7.94,27,429,15
SC Ganguly,0,18,262,7.81,19,336,10
BJ Hodge,2,15,238,7.54,20,294,17
M Kartik,1,24,1182,6.81,55,1341,31
MM Patel,7,26,1382,7.26,63,1670,74
A Singh,3,27,486,7.44,23,603,28
J Botha,1,23,709,6.62,34,781,25
SK Warne,5,26,1223,6.94,54,1408,57
RA Jadeja,9,22,1962,7.51,112,2457,82
T Henderson,0,40,36,6.67,2,40,1
GD McGrath,1,27,329,6.52,14,352,12
Mohammad Asif,0,41,199,8.76,8,289,8
VY Mahesh,2,29,359,8.1,17,478,21
MF Maharoof,1,26,441,6.77,20,494,27
A Mishra,14,25,2679,7.12,125,3176,133
M Ntini,1,29,213,6.8,9,238,7
MS Gony,2,29,913,8.09,43,1230,37
JA Morkel,5,26,1783,7.52,86,2233,83
M Muralitharan,4,25,1557,6.28,66,1626,61
SK Raina,0,16,913,7.09,67,1077,25
S Vidyut,0,21,13,10.5,1,21,1
MJ McClenaghan,7,32,957,7.7,39,1224,54
SL Malinga,15,25,2666,6.16,109,2737,152
JJ Bumrah,7,29,1058,7.59,47,1335,44
KV Sharma,5,24,1046,7.53,55,1311,50
KH Pandya,1,21,415,6.94,23,479,13
HH Pandya,0,17,375,8.47,31,525,10
AN Ahmed,0,29,362,7.78,17,467,12
Harbhajan Singh,9,24,2964,6.63,133,3273,126
RG Sharma,2,14,342,7.46,30,425,15
KA Pollard,3,21,1276,7.96,81,1688,56
IK Pathan,4,25,2113,7.3,101,2569,80
SJ Srivastava,0,31,306,8.02,14,409,14
J Theron,1,32,235,7.38,10,288,11
PP Chawla,10,25,2576,7.39,127,3171,126
Yuvraj Singh,4,15,862,7.24,70,1035,36
M Morkel,6,28,1672,7.09,69,1970,76
UT Yadav,10,28,2033,7.74,93,2616,91
RE van der Merwe,1,24,455,6.48,21,486,21
Y Nagar,0,16,72,9.75,8,117,4
Z Khan,10,27,2276,7.1,99,2691,103
DJ Bravo,10,26,2110,7.57,103,2658,122
R McLaren,0,30,372,8.39,18,520,12
T Thushara,0,30,144,6.33,6,152,8
SB Jakati,2,25,1101,7.77,57,1422,47
C Ganapathy,0,13,6,13.0,1,13,0
Pankaj Singh,0,28,311,8.88,17,453,11
GB Hogg,2,27,466,7.17,21,552,23
P Kumar,3,26,2637,7.08,119,3106,90
R Vinay Kumar,10,28,2113,7.99,100,2811,100
A Kumble,5,25,983,6.3,42,1027,45
JH Kallis,2,25,1793,7.44,88,2218,65
SB Joshi,0,27,55,9.11,4,82,1
YK Pathan,3,17,1166,6.96,80,1350,41
AS Raut,0,11,30,8.8,5,44,0
Ankit Sharma,0,22,357,6.92,19,408,12
JP Duminy,1,16,683,6.78,47,766,23
V Pratap Singh,0,36,211,8.26,9,289,10
DW Steyn,8,24,2133,6.14,90,2178,91
A Ashish Reddy,1,21,264,8.61,19,379,17
S Dhawan,0,13,49,8.12,6,65,4
A Mithun,0,29,312,8.62,16,448,7
P Parameswaran,1,31,159,8.42,8,219,9
TM Dilshan,0,15,275,8.02,25,361,5
J Syed Mohammad,0,29,184,8.87,10,266,8
L Balaji,7,27,1549,7.46,72,1924,75
Shakib Al Hasan,2,26,923,6.86,41,1049,42
SP Narine,11,24,1932,6.12,81,1971,95
Iqbal Abdulla,4,23,943,6.9,48,1083,40
VRV Singh,1,31,371,8.7,18,531,12
RR Powar,0,20,443,6.86,26,501,13
JR Hopes,0,28,369,8.84,20,539,14
KW Richardson,1,33,326,7.98,14,431,19
SR Watson,8,25,1939,7.14,93,2305,86
R Bhatia,4,22,1661,7.2,91,1986,71
PV Tambe,2,25,656,7.29,32,795,28
BW Hilfenhaus,1,28,390,7.09,17,461,22
IC Pandey,0,25,469,7.49,24,584,18
R Ashwin,5,22,2335,6.11,107,2377,100
MM Sharma,10,27,1566,7.83,75,2043,83
SW Tait,4,27,534,6.26,21,557,24
B Akhil,0,19,193,7.34,13,235,6
S Badree,1,28,263,7.19,12,309,11
V Shankar,0,19,6,19.0,1,19,0
RJ Harris,6,27,865,6.93,37,998,45
RP Singh,11,27,1849,7.11,81,2189,90
Harmeet Singh,2,25,549,7.31,27,665,26
DR Smith,2,17,557,8.55,46,787,26
Shoaib Ahmed,0,25,103,8.88,7,151,5
TL Suman,0,19,152,7.8,11,195,6
Gagandeep Singh,0,47,84,10.07,4,141,3
Sandeep Sharma,9,28,1246,7.33,55,1517,70
MP Stoinis,2,26,209,8.68,12,295,10
AR Patel,3,26,1255,7.11,58,1485,56
KC Cariappa,0,34,211,8.77,10,307,8
Gurkeerat Singh,0,18,82,7.15,6,93,5
MA Starc,4,26,612,6.43,26,656,34
VR Aaron,1,29,904,7.67,40,1151,38
YS Chahal,6,28,1219,7.55,55,1532,70
Swapnil Singh,0,22,61,8.9,5,89,1
CK Langeveldt,1,29,165,6.59,7,178,13
SS Sarkar,0,34,25,8.5,2,34,1
BAW Mendis,0,30,223,7.49,10,277,6
Anureet Singh,1,30,356,8.22,17,485,14
MG Johnson,3,29,1142,7.33,48,1393,59
Karanveer Singh,2,39,213,8.91,9,312,12
M Vijay,0,16,37,8.0,4,48,0
GJ Maxwell,0,14,328,8.35,32,451,11
DP Nannes,2,26,689,6.44,29,734,28
A Nehra,14,27,1974,7.36,88,2422,106
V Sehwag,0,16,138,10.13,15,233,6
PJ Sangwan,3,29,837,7.91,38,1100,35
Basil Thampi,1,37,278,9.0,12,414,11
Ankit Soni,0,28,112,7.83,6,141,2
Mohammed Shami,0,29,659,8.11,31,884,18
S Nadeem,1,24,1137,6.85,53,1295,37
PJ Cummins,0,31,379,7.57,16,477,17
MN Samuels,1,27,219,7.72,11,278,9
CJ Anderson,0,21,259,9.0,19,387,8
DL Chahar,0,27,77,9.17,5,110,1
NLTC Perera,3,28,690,8.5,35,978,30
A Zampa,2,27,225,7.3,11,270,19
DS Kulkarni,7,25,1459,7.23,71,1757,75
A Flintoff,0,52,66,9.55,3,105,2
JDP Oram,1,26,244,8.55,14,342,9
Joginder Sharma,0,28,272,8.93,15,402,12
B Kumar,11,25,2054,6.56,90,2244,111
DJG Sammy,1,18,244,8.52,19,341,11
WD Parnell,3,26,601,6.51,26,651,27
R Sharma,1,25,929,6.98,43,1075,40
MR Marsh,1,24,314,7.52,17,391,19
M Manhas,0,21,42,6.0,3,42,0
SM Harwood,0,30,67,5.55,3,61,3
AD Russell,4,26,651,8.06,34,870,31
JW Hastings,0,31,61,6.3,3,63,3
C Munro,0,15,12,7.5,2,15,0
NM Coulter-Nile,6,29,586,7.18,25,696,36
CR Woakes,2,31,278,8.09,13,372,17
C de Grandhomme,1,16,102,7.59,9,129,4
MC Henriques,1,22,918,7.92,55,1212,38
Bipul Sharma,0,20,436,7.74,28,557,17
RS Bopara,1,21,213,7.89,14,276,11
AA Jhunjhunwala,0,14,88,9.0,10,126,1
DJ Harris,0,26,18,8.67,2,26,0
AD Mathews,2,24,807,7.87,44,1054,27
MJ Clarke,0,16,66,6.09,5,67,2
SPD Smith,0,5,2,5.0,1,5,0
BA Stokes,2,27,274,6.78,12,305,12
Imran Tahir,9,31,734,7.89,32,962,47
BA Bhatt,1,27,303,7.78,15,389,12
TA Boult,2,36,355,7.97,14,470,15
J Yadav,0,21,183,6.43,10,193,4
Shoaib Akhtar,1,25,46,7.14,3,50,5
P Awana,4,31,774,7.75,33,1000,39
R Dhawan,0,25,513,7.13,25,606,18
BB Sran,1,30,345,7.98,16,455,14
S Kaul,3,28,436,8.04,21,579,22
Mohammad Nabi,0,29,66,5.27,3,58,2
Rashid Khan,2,27,328,6.52,14,352,17
Azhar Mahmood,4,30,552,7.4,23,681,29
BE Hendricks,1,37,157,8.62,7,224,9
P Prasanth,0,18,6,18.0,1,18,0
Y Gnaneswara Rao,0,7,6,7.0,1,7,0
S Narwal,1,39,113,10.83,6,195,5
AC Voges,0,12,56,8.22,7,74,0
AP Dole,0,52,73,8.75,3,105,5
FY Fazal,0,20,12,10.0,2,20,0
AG Murtaza,1,27,269,6.91,12,304,9
R Sathish,0,17,144,9.46,14,227,3
ST Jayasuriya,1,18,301,7.5,21,375,13
Mustafizur Rahman,1,27,393,6.83,17,444,17
TG Southee,1,31,666,7.68,28,852,20
YA Abdulla,3,29,222,7.95,11,294,15
VS Malik,0,21,212,7.26,13,254,6
SE Bond,0,31,191,7.03,8,218,9
JD Unadkat,6,28,969,7.89,45,1271,55
DJ Hussey,0,18,323,8.81,26,467,8
MK Tiwary,0,17,38,11.83,5,71,1
Mohammed Siraj,1,41,141,9.09,6,209,10
LJ Wright,0,24,75,10.0,6,120,2
M Ashwin,1,26,176,8.07,10,234,7
B Lee,1,28,916,6.86,38,1042,25
Y Venugopal Rao,0,17,222,8.89,20,329,6
A Symonds,1,22,540,7.29,30,656,20
PP Ojha,5,25,1945,6.98,90,2261,89
SR Tendulkar,0,19,37,9.5,4,57,0
WPUJC Vaas,1,28,288,7.19,13,345,18
